water_tower,measurement_timestamp,consumption,preassure
Elche Diseminado,1525418831515,9217.754256764898,5.874689812782177
Alicante Metropolitana,1526026065362,3458.2514434349278,5.589579234781099
Alicante Diseminado,1516865813134,9147.722682280735,6.376555101563901
Elche Metropolitana,1519069291067,8074.598221154548,1.0617874385240458
Santa Pola,1516072182259,4537.332071383888,9.98039329645409
Alicante Diseminado,1517292778417,5377.5017186903715,6.209513443530392
Alicante Diseminado,1520936688247,6235.430584030252,2.7130823864373803
Alicante Diseminado,1525949183963,7675.082139218438,2.296114644520312
Elche Diseminado,1517636028862,6036.350225892885,9.324169608755033
Alicante Diseminado,1522907934213,1112.938043149736,1.1188434471939885
Alicante Metropolitana,1515329782831,5713.50138080726,8.205437739017215
Alicante Metropolitana,1525707221490,9735.772457816382,3.643210372818781
Alicante Metropolitana,1521846269067,600.7547595634666,8.184864035566115
Alicante Diseminado,1519439638040,195.82886919172205,7.510068838724346
Elche Metropolitana,1523429348097,2890.2082841114175,4.329862363959359
Elche Metropolitana,1522968785727,1036.8631331366573,3.8039498646459
Elche Metropolitana,1526139248663,318.23178787326657,2.577489898693912
Alicante Diseminado,1524768464529,6331.429034929875,3.7691864616288697
Elche Diseminado,1516511349418,8045.955185927251,2.311075167181083
Alicante Metropolitana,1522204080593,424.6620867346851,5.233158660950393
Alicante Metropolitana,1525718508879,2977.208830530148,6.8760737034312625
Elche Metropolitana,1520789780956,6878.853144571176,7.914098177381032
Alicante Diseminado,1523084519025,7713.062661295029,1.2511761582190635
Elche Metropolitana,1520078147479,6620.345866304979,8.904755949213738
Elche Diseminado,1517970869299,284.27440370091375,8.552340270930099
Alicante Diseminado,1524787203121,1850.9903907014336,4.827982368694023
Santa Pola,1522241834469,9251.091043070244,1.8287652032599175
Santa Pola,1523512782426,867.463762886681,4.99869029772413
Santa Pola,1521102247389,6279.429447836411,5.813063747962049
Elche Metropolitana,1525296126762,2642.7562119208546,5.204244215980324
Elche Diseminado,1515384440356,7963.2002355945,7.221937335428668
Elche Diseminado,1519325370565,7467.768643932464,1.2940099544306145
Santa Pola,1523780371230,611.4195899861097,5.53431719360657
Elche Diseminado,1519716758734,7903.689749473048,8.354483563644695
Elche Diseminado,1524879250777,8534.829833884673,1.0907106153248187
Alicante Diseminado,1520333830083,2408.711596211448,5.362371815982376
Elche Metropolitana,1516587578924,1348.4003417483093,8.24546590571091
Santa Pola,1519041517191,3281.6130799891,4.0475975449846535
Alicante Metropolitana,1517979722553,4928.108201804575,6.975404262190692
Elche Metropolitana,1519695653411,3534.252152659907,8.367346270661276
Santa Pola,1520762988877,5629.0220797404545,2.9812092201132194
Elche Diseminado,1515213802797,5704.808607089727,1.8084196658877794
Elche Diseminado,1518450278012,5131.206532070022,1.9459259369697706
Elche Diseminado,1523413128547,1952.195059613726,1.2429380368224314
Alicante Metropolitana,1515369421000,3364.858662301362,8.1182789802128
Elche Metropolitana,1523884618027,615.4728492134032,4.474898341097234
Santa Pola,1518687337903,415.6676881892096,8.948158830986678
Santa Pola,1523906309447,2173.190833505629,4.360311354374814
Elche Metropolitana,1520358800286,2195.27792413191,7.764551313852428
Elche Metropolitana,1517196325550,1677.8157101554702,7.115523800248787
Alicante Diseminado,1525931991944,4471.599274924094,6.778891780842706
Elche Diseminado,1522696388972,5105.380090727489,6.682419756032725
Alicante Diseminado,1520734957869,549.5444782412384,6.007705476618153
Santa Pola,1520660304176,2762.0257316247444,6.853021022157522
Alicante Diseminado,1516215066962,3899.744771430291,9.073599107570319
Elche Metropolitana,1516048517561,2103.007108977083,7.692104448743154
Alicante Metropolitana,1519732803373,9619.092332874221,4.730686319646666
Elche Diseminado,1524718543121,106.85226514143609,6.519302011937332
Santa Pola,1521926592205,911.8525694274548,8.036539419989264
Santa Pola,1525589046272,1330.8898777666645,6.560120238033258
Elche Diseminado,1522091316400,7243.9942529869795,9.515932442815744
Santa Pola,1522821997512,4908.792385544989,4.898735361727351
Santa Pola,1524104533135,8201.872824478485,3.977281265104993
Alicante Diseminado,1524455207109,9061.50563822424,8.145546946772438
Santa Pola,1516963587333,8487.529010141281,2.3177687547588466
Elche Diseminado,1521080510632,2746.9742771372653,8.028832635290811
Alicante Diseminado,1518020100733,8552.488238882468,6.628587724914055
Santa Pola,1522617672557,807.180817305747,5.668511749396566
Santa Pola,1516246664137,4870.253239258042,8.404053381421232
Elche Diseminado,1526194184861,8420.638896675591,6.496848610019532
Alicante Diseminado,1521730035841,927.4196253998701,8.336811803817167
Alicante Metropolitana,1518804507647,6530.39311944922,6.448972964342149
Elche Diseminado,1520609935931,6736.813111719615,4.498382813544632
Elche Diseminado,1518245492956,9376.869804132322,5.8659338376995285
Elche Metropolitana,1519521757240,6288.628641762988,6.897579753505768
Elche Diseminado,1514929708709,5210.049889441703,5.470777723965271
Santa Pola,1517748371261,7498.716506647412,6.350169466857874
Elche Metropolitana,1520745638951,3284.5978238543616,6.104574587902474
Santa Pola,1521768423210,3525.7423490609153,6.747850228766498
Elche Diseminado,1518478187595,7358.936025544972,5.881504954453007
Elche Diseminado,1524520379917,3517.9879768737974,7.457523088091506
Alicante Metropolitana,1523919902354,3902.5048360969117,3.616747205230174
Santa Pola,1521317318120,468.38387634396514,9.079995574885652
Elche Diseminado,1524988211720,535.6010517561172,9.367736083066614
Santa Pola,1517819844798,1819.8336308940477,8.177586744059393
Elche Metropolitana,1518894292374,2803.776330346703,9.48874910109655
Elche Metropolitana,1526092538185,8361.04933987895,1.8195999074856635
Santa Pola,1520976541248,115.64485650658374,7.49391455600331
Alicante Metropolitana,1518139109674,1345.93309409204,1.3466580340437502
Santa Pola,1516653514859,7929.762448718723,7.865430037174089
Alicante Metropolitana,1520289644835,385.1486537513438,5.49394915352476
Elche Diseminado,1523040015301,8033.2433721835305,6.395109793984236
Santa Pola,1523797725903,8591.866039603863,2.5708440753980653
Alicante Metropolitana,1515156013834,6217.031413958542,2.1425922747120802
Elche Diseminado,1520933863752,9764.072351108422,5.442213364416354
Alicante Metropolitana,1523298922820,8984.309926584463,8.984526073438854
Elche Metropolitana,1517700263270,1104.9194270834616,5.371700209395097
Alicante Diseminado,1516485566241,6622.7771364133905,1.9652790540362424
Alicante Metropolitana,1521287310633,3161.828984551608,8.305391461495319
Alicante Diseminado,1518086915625,9803.113595894947,8.58775824950208
Alicante Diseminado,1520631164130,6720.642518228249,9.070502919489138
Alicante Metropolitana,1525136115558,1027.414720538744,8.047833444768866
Santa Pola,1516379141144,3792.3877241110226,5.01645253365921
